mhs_nrp,keg_kode
214170211,KER0071
214170212,KER0071
214170213,KER0071
214170217,KER0071
214170218,KER0071
214170220,KER0071
214170223,KER0071
214170225,KER0071
214170228,KER0071
214170232,KER0071
214170236,KER0071
214170240,KER0071
214170245,KER0071
214170249,KER0071
214170251,KER0071
215011653,KER0071
215102568,KER0071
215102570,KER0071
215102574,KER0071
215102579,KER0071
215102581,KER0071
215116407,KER0071
215116415,KER0071
215116427,KER0071
215116446,KER0071
215116452,KER0071
215116453,KER0071
215116467,KER0071
215116469,KER0071
215116483,KER0071
215116486,KER0071
215120620,KER0071
215120622,KER0071
215120626,KER0071
215140058,KER0071
215170262,KER0071
215170263,KER0071
215170264,KER0071
215170266,KER0071
215170268,KER0071
215170269,KER0071
215170274,KER0071
215170281,KER0071
215170282,KER0071
215170285,KER0071
215180344,KER0071
215180347,KER0071
215180349,KER0071
215180350,KER0071
215180352,KER0071
215180355,KER0071
215180360,KER0071
215180361,KER0071
215180362,KER0071
216011660,KER0071
216011662,KER0071
216116491,KER0071
216116492,KER0071
216116501,KER0071
216116507,KER0071
216116509,KER0071
216116511,KER0071
216116512,KER0071
216116513,KER0071
216116514,KER0071
216116517,KER0071
216116518,KER0071
216116528,KER0071
216116529,KER0071
216116530,KER0071
216116537,KER0071
216116540,KER0071
216116541,KER0071
216116546,KER0071
216116547,KER0071
216116550,KER0071
216116551,KER0071
216116554,KER0071
216116556,KER0071
216116559,KER0071
216116561,KER0071
216116562,KER0071
216116563,KER0071
216120642,KER0071
216120643,KER0071
216120644,KER0071
216120646,KER0071
216120648,KER0071
216120653,KER0071
216120655,KER0071
216120658,KER0071
216120660,KER0071
216120661,KER0071
216140062,KER0071
216140064,KER0071
216140067,KER0071
216170294,KER0071
216170304,KER0071
216170308,KER0071
216170311,KER0071
216170315,KER0071
216170316,KER0071
216170318,KER0071
216170324,KER0071
216170328,KER0071
216170330,KER0071
216170331,KER0071
216170334,KER0071
216170338,KER0071
